UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
4255,L51434,L,302.6,311.0,1284,68.0,114,1,Power Failure
4263,L51442,L,302.6,311.0,2001,20.7,137,0,No Failure
4292,L51471,L,301.8,310.0,2032,19.0,203,0,No Failure
4293,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
4297,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
4303,L51482,L,301.7,310.1,2695,12.6,10,0,No Failure
4343,M19202,M,301.7,309.8,1284,68.2,111,1,Power Failure
4409,L51588,L,302.4,310.1,2009,18.9,59,0,No Failure
4420,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
4423,M19282,M,302.6,310.2,2157,17.2,94,0,No Failure
4429,L51608,L,302.4,310.1,1906,21.2,110,0,No Failure
4445,L51624,L,302.4,310.2,2224,16.0,154,0,No Failure
4463,L51642,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
4464,L51643,L,302.8,310.6,2016,19.9,199,0,No Failure
4480,L51659,L,302.6,310.2,1923,21.5,18,0,No Failure
4487,M19346,M,302.6,310.5,1965,20.2,40,0,No Failure
4491,L51670,L,302.5,310.4,1967,20.3,50,0,No Failure
4514,L51693,L,302.4,310.3,1900,24.4,113,0,No Failure
4523,M19382,M,302.5,310.5,1918,21.6,131,0,No Failure
4539,L51718,L,302.4,310.3,1923,23.3,172,0,No Failure
4564,L51743,L,302.7,310.7,1977,20.0,21,0,No Failure
4577,M19436,M,302.9,311.1,1926,21.8,58,0,No Failure
4592,H34005,H,302.9,311.2,2102,17.8,91,0,No Failure
4608,L51787,L,303.0,311.1,1980,20.2,137,0,No Failure
4613,L51792,L,303.0,311.3,2194,16.5,148,0,No Failure
4620,H34033,H,303.1,311.3,2056,19.7,167,0,No Failure
4648,L51827,L,303.3,311.4,1958,21.5,0,0,No Failure
4688,L51867,L,303.5,311.6,2183,17.0,110,0,No Failure
4707,L51886,L,303.5,311.7,1959,22.3,157,0,No Failure
4708,L51887,L,303.5,311.8,1944,23.5,159,0,No Failure
4722,L51901,L,303.5,311.8,1927,21.9,195,0,No Failure
4727,M19586,M,303.4,311.8,2133,18.3,207,0,No Failure
4739,M19598,M,303.2,311.4,2102,19.0,5,0,No Failure
4757,H34170,H,303.4,311.7,1991,19.0,53,0,No Failure
4763,M19622,M,303.7,312.0,2663,11.4,71,1,Power Failure
4819,M19678,M,303.6,312.1,1967,20.9,2,0,No Failure
4827,L52006,L,303.4,311.8,2268,15.8,20,0,No Failure
4862,L52041,L,303.5,312.3,1946,21.1,112,0,No Failure
4864,M19723,M,303.6,312.3,1915,22.3,116,0,No Failure
4893,L52072,L,303.7,312.3,1922,23.1,193,0,No Failure
4900,L52079,L,303.6,312.3,2168,17.7,219,0,No Failure
4904,L52083,L,303.6,312.4,2232,16.8,0,0,No Failure
4921,L52100,L,303.4,312.2,1337,69.4,52,1,Power Failure
4924,M19783,M,303.4,312.2,1972,23.5,59,0,No Failure
4937,L52116,L,303.5,312.4,1284,70.6,94,1,Power Failure
4951,M19810,M,303.8,312.7,1919,20.2,131,0,No Failure
4957,M19816,M,303.8,312.5,2344,15.2,146,0,No Failure
4989,L52168,L,303.8,313.1,2497,13.0,5,1,Power Failure
4998,M19857,M,303.6,312.8,2659,11.4,26,1,Power Failure
5002,M19861,M,303.6,312.7,2174,17.6,37,0,No Failure
5049,H34462,H,304.0,313.2,1271,68.6,161,1,Power Failure
5085,L52264,L,304.1,313.1,1969,20.8,59,0,No Failure
5116,M19975,M,304.2,313.7,2113,18.4,139,0,No Failure
5128,M19987,M,304.3,313.5,2245,15.1,172,0,No Failure
5153,L52332,L,304.3,313.5,2643,12.7,21,0,No Failure
5162,M20021,M,304.1,313.2,2028,18.9,45,0,No Failure
5184,M20043,M,303.9,313.0,1901,22.5,110,0,No Failure
5186,L52365,L,304.0,313.0,2012,21.1,115,0,No Failure
5187,L52366,L,304.0,313.0,2354,15.0,117,0,No Failure
5205,L52384,L,303.7,312.7,1989,22.4,166,0,No Failure
5231,M20090,M,303.8,313.1,2117,18.6,22,0,No Failure
5249,M20108,M,303.5,313.0,1902,21.6,60,0,No Failure
5255,L52434,L,303.5,313.1,1897,23.6,75,0,No Failure
5299,M20158,M,303.7,313.1,2130,18.1,185,0,No Failure
5328,M20187,M,303.5,312.7,2116,16.7,45,0,No Failure
5335,M20194,M,303.4,312.6,2706,9.8,65,1,Power Failure
5358,L52537,L,303.3,312.5,1968,20.6,130,0,No Failure
5378,L52557,L,302.9,312.4,2030,19.1,192,0,No Failure
5395,M20254,M,302.8,312.3,1262,70.5,234,1,Power Failure
5399,L52578,L,302.9,312.4,1923,23.9,244,0,No Failure
5408,L52587,L,302.7,312.4,1954,24.8,13,0,No Failure
5445,L52624,L,303.0,312.7,2024,19.9,102,0,No Failure
5450,L52629,L,303.1,312.8,2329,15.1,113,0,No Failure
5484,M20343,M,302.6,312.1,2000,21.9,200,0,No Failure
5491,L52670,L,302.6,312.1,1288,68.5,0,1,Power Failure
5497,M20356,M,302.9,312.5,1924,24.0,17,0,No Failure
5499,M20358,M,302.9,312.5,1903,21.2,23,0,No Failure
5512,L52691,L,302.8,312.1,1958,20.3,56,0,No Failure
5519,M20378,M,302.5,311.8,2023,19.1,74,0,No Failure
5583,L52762,L,302.5,312.0,2052,18.9,40,0,No Failure
5596,M20455,M,302.7,312.0,1944,21.4,71,0,No Failure
5616,M20475,M,303.0,312.2,1257,71.3,122,1,Power Failure
5620,L52799,L,303.0,312.3,1932,21.9,132,0,No Failure
5648,H35061,H,302.5,311.8,2370,14.7,198,0,No Failure
5668,L52847,L,302.2,311.4,2080,19.2,31,0,No Failure
5688,L52867,L,302.3,311.7,2170,18.2,91,0,No Failure
5707,L52886,L,302.4,311.9,1290,70.0,139,1,Power Failure
5746,L52925,L,302.1,311.5,1987,20.1,21,0,No Failure
5751,L52930,L,302.2,311.8,1981,21.8,36,0,No Failure
5776,L52955,L,301.6,311.1,1907,21.5,102,0,No Failure
5849,L53028,L,301.4,311.3,2323,15.9,50,0,No Failure
5870,L53049,L,301.5,311.1,2076,18.7,103,0,No Failure
5871,L53050,L,301.5,311.1,2055,16.8,105,0,No Failure
5882,L53061,L,301.4,311.1,1952,22.7,131,0,No Failure
5949,L53128,L,300.7,310.8,2113,18.5,95,0,No Failure
5996,L53175,L,300.6,310.3,1920,22.3,223,0,No Failure
6007,M20866,M,300.6,310.5,2156,18.0,16,0,No Failure
6010,L53189,L,300.6,310.6,1931,22.0,24,0,No Failure
6053,L53232,L,300.9,311.0,2003,20.2,138,0,No Failure
6060,L53239,L,300.9,311.0,2235,15.8,156,0,No Failure
6069,M20928,M,301.0,310.9,2047,17.9,178,0,No Failure
6099,M20958,M,300.8,310.7,1924,22.4,36,0,No Failure
6113,L53292,L,300.7,310.8,1925,22.0,74,0,No Failure
6126,L53305,L,300.9,310.9,1995,20.2,105,0,No Failure
6138,M20997,M,300.9,310.8,1988,19.7,136,0,No Failure
6148,M21007,M,301.1,311.1,2089,19.8,162,0,No Failure
6179,L53358,L,301.1,310.9,1282,67.9,10,1,Power Failure
6182,L53361,L,301.0,310.8,1975,19.7,17,0,No Failure
6186,L53365,L,301.1,311.0,1918,21.7,28,0,No Failure
6190,M21049,M,301.0,310.9,1910,21.9,37,0,No Failure
6192,H35605,H,301.0,310.9,1916,22.0,42,0,No Failure
6230,L53409,L,301.3,310.9,2165,17.4,143,0,No Failure
6244,L53423,L,301.0,310.4,2204,16.6,175,0,No Failure
6271,L53450,L,300.9,310.4,2021,18.8,30,0,No Failure
6291,L53470,L,301.0,310.5,1932,21.7,79,0,No Failure
6311,L53490,L,300.9,310.1,2090,17.8,133,0,No Failure
6333,M21192,M,300.5,309.9,1994,19.8,189,0,No Failure
6367,M21226,M,299.9,309.5,2065,18.1,62,0,No Failure
6406,L53585,L,300.1,309.7,2151,17.5,173,0,No Failure
6485,H35898,H,300.6,309.8,1913,22.5,157,0,No Failure
6487,L53666,L,300.5,309.8,1939,21.4,164,0,No Failure
6499,H35912,H,300.8,309.9,2041,19.2,194,0,No Failure
6503,L53682,L,300.9,310.0,2595,13.7,207,0,No Failure
6512,M21371,M,301.2,310.1,2280,15.7,11,0,No Failure
6519,H35932,H,301.0,310.0,1212,67.9,30,0,No Failure
6526,L53705,L,301.1,310.4,1312,73.6,49,1,Power Failure
6561,L53740,L,301.6,310.8,1961,21.8,148,0,No Failure
6564,L53743,L,301.5,310.7,1942,20.5,155,0,No Failure
6567,L53746,L,301.3,310.6,1966,22.6,161,0,No Failure
6592,L53771,L,301.7,310.7,2023,20.9,5,0,No Failure
6595,L53774,L,301.6,310.6,2103,19.7,12,0,No Failure
6613,L53792,L,301.6,310.6,1222,70.0,62,0,No Failure
6648,L53827,L,301.5,310.5,1927,22.4,149,0,No Failure
6655,L53834,L,301.4,310.3,2203,16.6,169,0,No Failure
6663,M21522,M,301.3,310.4,2093,18.7,190,0,No Failure
6671,L53850,L,301.5,310.6,1998,20.2,210,0,No Failure
6719,L53898,L,301.4,310.6,2137,18.0,99,0,No Failure
6749,H36162,H,301.7,311.0,2016,19.3,180,0,No Failure
6772,M21631,M,301.2,310.7,1962,22.5,28,0,No Failure
6778,L53957,L,301.2,310.7,1951,21.3,44,0,No Failure
6791,M21650,M,301.1,310.7,2219,16.7,79,0,No Failure
6800,M21659,M,301.1,310.7,2636,12.2,100,1,Power Failure
6860,M21719,M,301.1,311.3,1909,22.7,38,0,No Failure
6861,L54040,L,301.1,311.2,1910,20.2,41,0,No Failure
6862,H36275,H,301.1,311.3,2207,16.6,43,0,No Failure
6880,H36293,H,300.8,311.2,2237,17.0,95,0,No Failure
6883,L54062,L,300.9,311.4,2073,21.4,105,0,No Failure
6884,L54063,L,300.9,311.3,1953,19.4,107,0,No Failure
6933,L54112,L,300.8,311.4,1322,67.2,18,1,Power Failure
6964,H36377,H,300.7,311.0,1981,19.9,99,0,No Failure
6967,L54146,L,300.7,311.0,1969,20.7,109,0,No Failure
6978,L54157,L,300.7,311.1,2377,14.3,135,0,No Failure
6988,L54167,L,300.7,311.1,2437,13.8,163,0,No Failure
6991,L54170,L,300.7,311.1,2478,13.4,170,1,Power Failure
7005,L54184,L,300.5,310.6,1950,20.3,208,0,No Failure
7012,L54191,L,300.5,310.5,2633,12.2,17,1,Power Failure
7025,L54204,L,300.6,310.6,2127,18.7,53,0,No Failure
7044,M21903,M,300.7,310.6,2006,19.1,102,0,No Failure
7049,L54228,L,300.6,310.4,2007,19.8,116,0,No Failure
7077,L54256,L,300.7,310.5,1960,21.0,194,0,No Failure
7087,L54266,L,300.6,310.4,2514,13.4,215,0,No Failure
7121,L54300,L,300.9,310.5,2288,16.1,85,0,No Failure
7152,H36565,H,300.2,309.9,1906,22.9,165,0,No Failure
7183,L54362,L,300.3,310.3,2158,16.8,32,0,No Failure
7226,M22085,M,299.8,309.7,1910,21.8,141,0,No Failure
7261,L54440,L,300.4,310.5,2424,14.5,12,0,No Failure
7281,L54460,L,299.9,310.2,1288,69.6,62,1,Power Failure
7289,M22148,M,300.2,310.6,1983,20.8,83,0,No Failure
7322,L54501,L,299.8,310.2,1911,23.5,166,0,No Failure
7366,L54545,L,299.6,310.1,2057,20.4,60,0,No Failure
7410,L54589,L,299.8,310.9,2084,17.6,175,0,No Failure
7434,M22293,M,300.1,311.4,1913,21.9,15,0,No Failure
7475,L54654,L,300.3,311.7,1989,22.3,121,0,No Failure
7514,L54693,L,300.4,311.8,2261,14.9,5,0,No Failure
7520,L54699,L,300.2,311.6,1999,21.0,19,0,No Failure
7537,L54716,L,300.1,311.3,2579,12.5,64,1,Power Failure
7568,M22427,M,300.2,311.0,2370,14.7,144,0,No Failure
7570,L54749,L,300.2,311.0,1255,71.8,149,1,Power Failure
7589,L54768,L,300.4,311.1,2013,20.1,195,0,No Failure
7594,L54773,L,300.5,311.2,1270,67.5,208,1,Overstrain Failure
7598,L54777,L,300.5,311.0,2074,18.9,9,0,No Failure
7606,H37019,H,300.4,311.3,2026,20.3,26,0,No Failure
7647,L54826,L,300.4,311.4,1936,23.9,131,0,No Failure
7673,M22532,M,300.5,311.7,2141,17.2,196,0,No Failure
7688,M22547,M,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
7694,L54873,L,300.6,311.6,1964,21.4,15,0,No Failure
7714,M22573,M,300.5,311.4,2072,18.8,75,0,No Failure
7738,M22597,M,300.5,312.0,1985,19.3,143,0,No Failure
7764,L54943,L,300.4,311.6,1200,76.6,3,1,Power Failure
7769,M22628,M,300.2,311.4,1960,20.9,20,0,No Failure
7811,L54990,L,300.1,311.5,2218,17.0,123,0,No Failure
7815,L54994,L,300.0,311.4,1927,24.6,132,0,No Failure
7819,L54998,L,299.8,311.2,2142,16.6,144,0,No Failure
7876,L55055,L,300.7,312.3,1898,24.0,60,0,No Failure
7887,M22746,M,300.6,312.2,2174,18.5,95,0,No Failure
7934,L55113,L,300.8,311.8,1928,21.8,209,0,No Failure
7958,H37371,H,300.9,311.9,2140,16.5,43,0,No Failure
7998,M22857,M,301.0,312.2,2710,9.7,143,1,Power Failure
8004,M22863,M,300.8,312.0,1274,67.3,159,0,No Failure
8010,H37423,H,300.9,312.0,2129,17.8,173,0,No Failure
8036,L55215,L,300.7,311.7,1910,19.7,13,0,No Failure
8091,L55270,L,300.1,311.4,1910,23.0,153,0,No Failure
8111,H37524,H,300.3,311.8,2141,18.5,204,0,No Failure
8115,H37528,H,300.4,311.8,2496,13.5,5,0,No Failure
8117,L55296,L,300.3,311.8,2004,19.6,12,0,No Failure
8185,L55364,L,299.8,311.1,2144,17.7,190,0,No Failure
8190,L55369,L,299.7,311.0,1983,21.0,201,0,No Failure
8242,M23101,M,298.9,310.2,2099,20.0,98,0,No Failure
8246,M23105,M,299.0,310.3,1303,68.6,111,1,Power Failure
8252,L55431,L,299.0,310.4,1981,21.2,125,0,No Failure
8263,L55442,L,299.1,310.6,1921,23.9,158,0,No Failure
8308,M23167,M,298.7,310.1,1402,69.7,64,1,Power Failure
8336,M23195,M,299.0,309.8,2240,15.9,144,0,No Failure
8370,L55549,L,298.8,309.7,1953,20.6,25,0,No Failure
8399,L55578,L,298.5,309.7,2617,12.1,102,1,Power Failure
8419,L55598,L,298.9,310.2,1971,23.2,155,0,No Failure
8545,H37958,H,298.5,309.4,2011,21.0,59,0,No Failure
8572,L55751,L,297.9,308.6,2262,15.7,125,0,No Failure
8583,M23442,M,297.5,308.1,1334,72.0,151,1,Power Failure
8714,L55893,L,297.2,308.6,1917,24.1,54,0,No Failure
8890,M23749,M,297.7,308.8,2089,19.1,111,0,No Failure
8917,L56096,L,297.1,308.2,2267,15.7,181,0,No Failure
8941,H38354,H,297.3,308.3,1935,19.3,24,0,No Failure
8943,L56122,L,297.3,308.3,2188,17.0,32,0,No Failure
8995,M23854,M,297.1,307.9,1980,20.3,159,0,No Failure
9038,L56217,L,297.3,308.2,1896,24.4,47,0,No Failure
9039,L56218,L,297.3,308.3,2358,14.9,49,0,No Failure
9053,M23912,M,297.4,308.6,1901,22.1,81,0,No Failure
9066,H38479,H,297.2,308.4,2182,17.3,119,0,No Failure
9085,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure
9090,L56269,L,297.2,307.9,1989,20.3,186,0,No Failure
